Date,Event Name,Importance
10 June 2021,Nuart Aberdeen,3
11 June 2021,Nuart Aberdeen,3
12 June 2021,Nuart Aberdeen,3
13 June 2021,Nuart Aberdeen,3
23 September 2021,True North Music Festival,2
24 September 2021,True North Music Festival,2
25 September 2021,True North Music Festival,2
26 September 2021,True North Music Festival,2
25 September 2021,Cultivate Festival,1
26 September 2021,Cultivate Festival,1
30 September 2021,Aberdeen Jazz Festival,2
01 October 2021,Aberdeen Jazz Festival,2
02 October 2021,Aberdeen Jazz Festival,2
03 October 2021,Aberdeen Jazz Festival,2
21 October 2021,Sound Festival,1
22 October 2021,Sound Festival,1
23 October 2021,Sound Festival,1
24 October 2021,Sound Festival,1
25 October 2021,Sound Festival,1
26 October 2021,Sound Festival,1
27 October 2021,Sound Festival,1
28 October 2021,Sound Festival,1
29 October 2021,Sound Festival,1
30 October 2021,Sound Festival,1
31 October 2021,Sound Festival,1
01 November 2021,Sound Festival,1
02 November 2021,Sound Festival,1
03 November 2021,Sound Festival,1
04 November 2021,Sound Festival,1
05 November 2021,Sound Festival,1
06 November 2021,Sound Festival,1
07 November 2021,Sound Festival,1
10 February 2022,Spectra: Festival of Light,3
11 February 2022,Spectra: Festival of Light,3
12 February 2022,Spectra: Festival of Light,3
13 February 2022,Spectra: Festival of Light,3
17 March 2022,Aberdeen Jazz Festival,2
18 March 2022,Aberdeen Jazz Festival,2
19 March 2022,Aberdeen Jazz Festival,2
20 March 2022,Aberdeen Jazz Festival,2
21 March 2022,Aberdeen Jazz Festival,2
22 March 2022,Aberdeen Jazz Festival,2
23 March 2022,Aberdeen Jazz Festival,2
24 March 2022,Aberdeen Jazz Festival,2
25 March 2022,Aberdeen Jazz Festival,2
26 March 2022,Aberdeen Jazz Festival,2
27 March 2022,Aberdeen Jazz Festival,2
14 May 2022,Cultivate Festival,1
15 May 2022,Cultivate Festival,1
09 June 2022,Nuart Aberdeen,3
10 June 2022,Nuart Aberdeen,3
11 June 2022,Nuart Aberdeen,3
12 June 2022,Nuart Aberdeen,3
19 June 2022,Aberdeen Highland Games,2
21 August 2022,Aberdeen Mela - One World Day,1
22 September 2022,True North Music Festival,2
23 September 2022,True North Music Festival,2
24 September 2022,True North Music Festival,2
25 September 2022,True North Music Festival,2
26 September 2022,Aberdeen Comedy Festival,2
27 September 2022,Aberdeen Comedy Festival,2
28 September 2022,Aberdeen Comedy Festival,2
29 September 2022,Aberdeen Comedy Festival,2
30 September 2022,Aberdeen Comedy Festival,2
01 October 2022,Aberdeen Comedy Festival,2
02 October 2022,Aberdeen Comedy Festival,2
03 October 2022,Aberdeen Comedy Festival,2
04 October 2022,Aberdeen Comedy Festival,2
05 October 2022,Aberdeen Comedy Festival,2
06 October 2022,Aberdeen Comedy Festival,2
07 October 2022,Aberdeen Comedy Festival,2
08 October 2022,Aberdeen Comedy Festival,2
09 October 2022,Aberdeen Comedy Festival,2
10 October 2022,Aberdeen Comedy Festival,2
11 October 2022,Aberdeen Comedy Festival,2
12 October 2022,Aberdeen Comedy Festival,2
13 October 2022,Aberdeen Comedy Festival,2
09 February 2023,Spectra: Festival of Light,3
10 February 2023,Spectra: Festival of Light,3
11 February 2023,Spectra: Festival of Light,3
12 February 2023,Spectra: Festival of Light,3
16 March 2023,Aberdeen Jazz Festival,2
17 March 2023,Aberdeen Jazz Festival,2
18 March 2023,Aberdeen Jazz Festival,2
19 March 2023,Aberdeen Jazz Festival,2
20 March 2023,Aberdeen Jazz Festival,2
21 March 2023,Aberdeen Jazz Festival,2
22 March 2023,Aberdeen Jazz Festival,2
23 March 2023,Aberdeen Jazz Festival,2
24 March 2023,Aberdeen Jazz Festival,2
25 March 2023,Aberdeen Jazz Festival,2
26 March 2023,Aberdeen Jazz Festival,2
12 May 2023,Cultivate Festival,1
13 May 2023,Cultivate Festival,1
08 June 2023,Nuart Aberdeen,3
09 June 2023,Nuart Aberdeen,3
10 June 2023,Nuart Aberdeen,3
11 June 2023,Nuart Aberdeen,3
18 June 2023,Aberdeen Highland Games,2
27 August 2023,Aberdeen Mela - One World Day,1
19 October 2023,DanceLive,1
20 October 2023,DanceLive,1
21 October 2023,DanceLive,1
22 October 2023,DanceLive,1
08 February 2024,Spectra: Festival of Light,3
09 February 2024,Spectra: Festival of Light,3
10 February 2024,Spectra: Festival of Light,3
11 February 2024,Spectra: Festival of Light,3
14 March 2024,Aberdeen Jazz Festival,2
15 March 2024,Aberdeen Jazz Festival,2
16 March 2024,Aberdeen Jazz Festival,2
17 March 2024,Aberdeen Jazz Festival,2
18 March 2024,Aberdeen Jazz Festival,2
19 March 2024,Aberdeen Jazz Festival,2
20 March 2024,Aberdeen Jazz Festival,2
21 March 2024,Aberdeen Jazz Festival,2
22 March 2024,Aberdeen Jazz Festival,2
23 March 2024,Aberdeen Jazz Festival,2
24 March 2024,Aberdeen Jazz Festival,2
06 June 2024,Nuart Aberdeen,3
07 June 2024,Nuart Aberdeen,3
08 June 2024,Nuart Aberdeen,3
09 June 2024,Nuart Aberdeen,3
16 June 2024,Aberdeen Highland Games,2
01 September 2024,Aberdeen Mela - One World Day,1
21 September 2024,Cultivate: Beach Links Festival,1
22 September 2024,Cultivate: Beach Links Festival,1
21 September 2024,Provenance Festival (Food & Drink),1
22 September 2024,Provenance Festival (Food & Drink),1
23 September 2024,Provenance Festival (Food & Drink),1
24 September 2024,Provenance Festival (Food & Drink),1
25 September 2024,Provenance Festival (Food & Drink),1
26 September 2024,Provenance Festival (Food & Drink),1
27 September 2024,Provenance Festival (Food & Drink),1
28 September 2024,Provenance Festival (Food & Drink),1
29 September 2024,Provenance Festival (Food & Drink),1
