Date,Opponent,Score,Importance
22 July 2021,BK Häcken,5-1,3
01 August 2021,Dundee United,2-0,3
12 August 2021,Breidablik,2-1,3
26 August 2021,Qarabag,1-3,3
29 August 2021,Ross County,1-1,1
18 September 2021,St Johnstone FC,0-1,2
03 October 2021,Celtic FC,1-2,3
23 October 2021,Hibernian,1-0,2
30 October 2021,Heart of Midlothian,2-1,2
06 November 2021,Motherwell,0-2,2
01 December 2021,Livingston,2-0,1
04 December 2021,St. Mirren,4-1,2
26 December 2021,Dundee,2-1,2
18 January 2022,Rangers,1-1,3
22 January 2022,Edinburgh City,3-0,1
09 February 2022,Celtic FC,2-3,3
15 February 2022,St Johnstone FC,1-1,2
26 February 2022,Dundee United,1-1,3
19 March 2022,Hibernian,3-1,2
09 April 2022,Ross County,0-1,1
23 April 2022,Livingston,1-2,1
30 April 2022,Dundee,1-0,2
15 May 2022,St. Mirren,0-0,2
13 July 2022,Dumbarton,2-0,1
24 July 2022,Raith Rovers,3-0,1
06 August 2022,St. Mirren,4-1,2
13 August 2022,Motherwell,2-3,2
27 August 2022,Livingston,5-0,1
01 October 2022,Kilmarnock FC,4-1,2
16 October 2022,Heart of Midlothian,2-0,2
19 October 2022,Partick Thistle,4-1,1
04 November 2022,Hibernian,4-1,2
12 November 2022,Dundee United,1-0,3
17 December 2022,Celtic FC,0-1,3
20 December 2022,Rangers,2-3,3
02 January 2023,Ross County,0-0,1
07 January 2023,St Johnstone FC,2-0,2
01 February 2023,St. Mirren,1-3,2
04 February 2023,Motherwell,3-1,2
25 February 2023,Livingston,1-0,1
18 March 2023,Heart of Midlothian,3-0,2
08 April 2023,Kilmarnock FC,2-0,2
23 April 2023,Rangers,2-0,3
13 May 2023,Hibernian,0-0,2
24 May 2023,St. Mirren,3-0,2
13 August 2023,Celtic FC,1-3,3
31 August 2023,BK Häcken,1-3,3
03 September 2023,Hibernian,0-2,2
24 September 2023,Ross County,4-0,1
05 October 2023,HJK Helsinki,1-1,3
08 October 2023,St Johnstone FC,0-0,2
26 October 2023,PAOK Salonika,2-3,3
26 November 2023,Rangers,1-1,3
06 December 2023,Kilmarnock FC,0-1,2
09 December 2023,Heart of Midlothian,2-1,2
14 December 2023,Eintracht Frankfurt,2-0,3
20 December 2023,Livingston,2-1,1
30 December 2023,St. Mirren,0-3,2
30 January 2024,Dundee,1-1,2
03 February 2024,Celtic FC,1-1,3
10 February 2024,Bonnyrigg Rose,2-0,1
14 February 2024,Motherwell,3-3,2
17 February 2024,Hibernian,2-2,2
28 February 2024,St Johnstone FC,0-2,2
09 March 2024,Kilmarnock FC,3-1,2
30 March 2024,Ross County,2-1,1
13 April 2024,Dundee,0-0,2
20 April 2024,Celtic FC,3-3,3
27 April 2024,Motherwell,1-0,2
04 May 2024,St Johnstone FC,1-0,2
15 May 2024,Livingston,5-1,1
23 July 2024,Airdrieonians,2-1,1
27 July 2024,Dumbarton,6-0,1
11 August 2024,St. Mirren,3-1,2
17 August 2024,Queen's Park,1-0,1
25 August 2024,Kilmarnock FC,2-0,2
14 September 2024,Motherwell,2-1,2
21 September 2024,Spartans FC,4-0,1
06 October 2024,Heart of Midlothian,3-2,2
26 October 2024,Dundee United,1-0,3
30 October 2024,Rangers,2-1,3
09 November 2024,Dundee,4-1,2
04 December 2024,Celtic FC,0-1,3
07 December 2024,St Johnstone FC,1-1,2
21 December 2024,Hibernian,1-3,2
02 January 2025,Ross County,1-2,1
12 January 2025,Heart of Midlothian,0-0,2
25 January 2025,St. Mirren,0-3,2
09 February 2025,Dunfermline Athletic,3-0,1
22 February 2025,Kilmarnock FC,1-0,2
02 March 2025,Dundee United,2-2,3
08 March 2025,Queen's Park,4-1,1
29 March 2025,Motherwell,4-1,2
13 April 2025,Rangers,2-2,3
26 April 2025,Hibernian,1-0,2
14 May 2025,Celtic FC,1-5,3
24 May 2025,Celtic FC,1-1,3
25 July 2025,Ipswich Town,1-3,1
10 August 2025,Celtic FC,0-2,3
21 August 2025,FCSB,2-2,3
31 August 2025,Falkirk,0-1,1
13 September 2025,Livingston,0-0,1
20 September 2025,Motherwell,0-1,2
02 October 2025,Shakhtar Donetsk,2-3,3
05 October 2025,Dundee,4-0,2
26 October 2025,Hibernian,1-2,2
09 November 2025,Motherwell,1-1,2
23 November 2025,Heart of Midlothian,1-0,2
27 November 2025,FC Noah,1-1,3
03 December 2025,St. Mirren,3-3,2
11 December 2025,RC Strasbourg Alsace,0-1,3
14 December 2025,Kilmarnock FC,2-1,2
27 December 2025,Dundee United,1-1,3
