Date,Product_Name,Actual_Sales
2025-11-01,Almd & Aprct Bar,1
2025-11-02,Almd & Aprct Bar,0
2025-11-03,Almd & Aprct Bar,0
2025-11-04,Almd & Aprct Bar,0
2025-11-05,Almd & Aprct Bar,0
2025-11-06,Almd & Aprct Bar,0
2025-11-07,Almd & Aprct Bar,0
2025-11-08,Almd & Aprct Bar,0
2025-11-09,Almd & Aprct Bar,2
2025-11-10,Almd & Aprct Bar,0
2025-11-11,Almd & Aprct Bar,0
2025-11-12,Almd & Aprct Bar,1
2025-11-13,Almd & Aprct Bar,1
2025-11-14,Almd & Aprct Bar,1
2025-11-15,Almd & Aprct Bar,0
2025-11-16,Almd & Aprct Bar,1
2025-11-17,Almd & Aprct Bar,1
2025-11-18,Almd & Aprct Bar,1
2025-11-19,Almd & Aprct Bar,4
2025-11-20,Almd & Aprct Bar,0
2025-11-21,Almd & Aprct Bar,1
2025-11-22,Almd & Aprct Bar,0
2025-11-23,Almd & Aprct Bar,1
2025-11-24,Almd & Aprct Bar,1
2025-11-25,Almd & Aprct Bar,0
2025-11-26,Almd & Aprct Bar,0
2025-11-27,Almd & Aprct Bar,1
2025-11-28,Almd & Aprct Bar,1
2025-11-29,Almd & Aprct Bar,0
2025-11-30,Almd & Aprct Bar,0
2025-11-01,Apl & Blk Smthie,0
2025-11-02,Apl & Blk Smthie,0
2025-11-03,Apl & Blk Smthie,0
2025-11-04,Apl & Blk Smthie,0
2025-11-05,Apl & Blk Smthie,0
2025-11-06,Apl & Blk Smthie,0
2025-11-07,Apl & Blk Smthie,0
2025-11-08,Apl & Blk Smthie,0
2025-11-09,Apl & Blk Smthie,0
2025-11-10,Apl & Blk Smthie,0
2025-11-11,Apl & Blk Smthie,0
2025-11-12,Apl & Blk Smthie,0
2025-11-13,Apl & Blk Smthie,0
2025-11-14,Apl & Blk Smthie,0
2025-11-15,Apl & Blk Smthie,0
2025-11-16,Apl & Blk Smthie,0
2025-11-17,Apl & Blk Smthie,0
2025-11-18,Apl & Blk Smthie,0
2025-11-19,Apl & Blk Smthie,0
2025-11-20,Apl & Blk Smthie,0
2025-11-21,Apl & Blk Smthie,0
2025-11-22,Apl & Blk Smthie,0
2025-11-23,Apl & Blk Smthie,0
2025-11-24,Apl & Blk Smthie,0
2025-11-25,Apl & Blk Smthie,0
2025-11-26,Apl & Blk Smthie,0
2025-11-27,Apl & Blk Smthie,0
2025-11-28,Apl & Blk Smthie,0
2025-11-29,Apl & Blk Smthie,0
2025-11-30,Apl & Blk Smthie,0
2025-11-01,Avo & Hal Muffin,0
2025-11-02,Avo & Hal Muffin,0
2025-11-03,Avo & Hal Muffin,0
2025-11-04,Avo & Hal Muffin,0
2025-11-05,Avo & Hal Muffin,0
2025-11-06,Avo & Hal Muffin,0
2025-11-07,Avo & Hal Muffin,0
2025-11-08,Avo & Hal Muffin,0
2025-11-09,Avo & Hal Muffin,0
2025-11-10,Avo & Hal Muffin,0
2025-11-11,Avo & Hal Muffin,0
2025-11-12,Avo & Hal Muffin,0
2025-11-13,Avo & Hal Muffin,0
2025-11-14,Avo & Hal Muffin,0
2025-11-15,Avo & Hal Muffin,0
2025-11-16,Avo & Hal Muffin,0
2025-11-17,Avo & Hal Muffin,0
2025-11-18,Avo & Hal Muffin,0
2025-11-19,Avo & Hal Muffin,0
2025-11-20,Avo & Hal Muffin,0
2025-11-21,Avo & Hal Muffin,0
2025-11-22,Avo & Hal Muffin,0
2025-11-23,Avo & Hal Muffin,0
2025-11-24,Avo & Hal Muffin,0
2025-11-25,Avo & Hal Muffin,0
2025-11-26,Avo & Hal Muffin,0
2025-11-27,Avo & Hal Muffin,0
2025-11-28,Avo & Hal Muffin,0
2025-11-29,Avo & Hal Muffin,0
2025-11-30,Avo & Hal Muffin,0
2025-11-01,"Avo, Egg & Bacon",8
2025-11-02,"Avo, Egg & Bacon",6
2025-11-03,"Avo, Egg & Bacon",3
2025-11-04,"Avo, Egg & Bacon",1
2025-11-05,"Avo, Egg & Bacon",2
2025-11-06,"Avo, Egg & Bacon",2
2025-11-07,"Avo, Egg & Bacon",6
2025-11-08,"Avo, Egg & Bacon",9
2025-11-09,"Avo, Egg & Bacon",1
2025-11-10,"Avo, Egg & Bacon",0
2025-11-11,"Avo, Egg & Bacon",1
2025-11-12,"Avo, Egg & Bacon",3
2025-11-13,"Avo, Egg & Bacon",2
2025-11-14,"Avo, Egg & Bacon",5
2025-11-15,"Avo, Egg & Bacon",6
2025-11-16,"Avo, Egg & Bacon",5
2025-11-17,"Avo, Egg & Bacon",4
2025-11-18,"Avo, Egg & Bacon",1
2025-11-19,"Avo, Egg & Bacon",0
2025-11-20,"Avo, Egg & Bacon",3
2025-11-21,"Avo, Egg & Bacon",6
2025-11-22,"Avo, Egg & Bacon",7
2025-11-23,"Avo, Egg & Bacon",6
2025-11-24,"Avo, Egg & Bacon",2
2025-11-25,"Avo, Egg & Bacon",1
2025-11-26,"Avo, Egg & Bacon",2
2025-11-27,"Avo, Egg & Bacon",3
2025-11-28,"Avo, Egg & Bacon",3
2025-11-29,"Avo, Egg & Bacon",5
2025-11-30,"Avo, Egg & Bacon",4
2025-11-01,"Avo, Feta & Tom",5
2025-11-02,"Avo, Feta & Tom",2
2025-11-03,"Avo, Feta & Tom",1
2025-11-04,"Avo, Feta & Tom",1
2025-11-05,"Avo, Feta & Tom",1
2025-11-06,"Avo, Feta & Tom",2
2025-11-07,"Avo, Feta & Tom",4
2025-11-08,"Avo, Feta & Tom",5
2025-11-09,"Avo, Feta & Tom",4
2025-11-10,"Avo, Feta & Tom",7
2025-11-11,"Avo, Feta & Tom",2
2025-11-12,"Avo, Feta & Tom",2
2025-11-13,"Avo, Feta & Tom",1
2025-11-14,"Avo, Feta & Tom",3
2025-11-15,"Avo, Feta & Tom",3
2025-11-16,"Avo, Feta & Tom",2
2025-11-17,"Avo, Feta & Tom",1
2025-11-18,"Avo, Feta & Tom",2
2025-11-19,"Avo, Feta & Tom",0
2025-11-20,"Avo, Feta & Tom",3
2025-11-21,"Avo, Feta & Tom",1
2025-11-22,"Avo, Feta & Tom",4
2025-11-23,"Avo, Feta & Tom",0
2025-11-24,"Avo, Feta & Tom",1
2025-11-25,"Avo, Feta & Tom",2
2025-11-26,"Avo, Feta & Tom",5
2025-11-27,"Avo, Feta & Tom",1
2025-11-28,"Avo, Feta & Tom",0
2025-11-29,"Avo, Feta & Tom",2
2025-11-30,"Avo, Feta & Tom",0
2025-11-01,Avocado on Toast,3
2025-11-02,Avocado on Toast,3
2025-11-03,Avocado on Toast,1
2025-11-04,Avocado on Toast,2
2025-11-05,Avocado on Toast,4
2025-11-06,Avocado on Toast,5
2025-11-07,Avocado on Toast,1
2025-11-08,Avocado on Toast,5
2025-11-09,Avocado on Toast,3
2025-11-10,Avocado on Toast,1
2025-11-11,Avocado on Toast,3
2025-11-12,Avocado on Toast,1
2025-11-13,Avocado on Toast,1
2025-11-14,Avocado on Toast,3
2025-11-15,Avocado on Toast,4
2025-11-16,Avocado on Toast,1
2025-11-17,Avocado on Toast,0
2025-11-18,Avocado on Toast,1
2025-11-19,Avocado on Toast,0
2025-11-20,Avocado on Toast,1
2025-11-21,Avocado on Toast,2
2025-11-22,Avocado on Toast,0
2025-11-23,Avocado on Toast,2
2025-11-24,Avocado on Toast,1
