Product,WAPE,MASE,MAE,Bias,RMSE
The Breakfast,0.2917,0.7967,9.9179,-2.8430,11.8549
Festive Stack,1.0000,1.7556,2.7241,-2.7241,3.8011
Bakery,0.1341,0.7874,8.4445,-2.3769,11.0573
Sausage Bap,0.3081,0.8864,3.7291,-1.6882,4.3884
Fried Egg,0.4503,0.9345,3.8667,-1.3568,4.4585
White Toast Bread,0.2017,0.7272,6.3438,-1.2225,9.3564
Breakfast Muffin,0.4296,0.6709,1.6887,-0.9323,2.2423
Brown Toast Bread,0.2311,0.7167,1.9525,-0.9035,2.5693
Black Pudding,0.6506,0.7294,1.6601,-0.8581,2.2805
Tattie Scone,0.7757,0.8292,1.6583,-0.7379,2.0761
Egg Bap,0.7059,0.6177,1.1928,-0.5288,1.6483
Baked Beans,0.4193,0.7049,2.2119,-0.4924,2.5043
Big Breakfast,0.3942,0.8693,6.5649,-0.3693,7.8547
Multiseed Toast Bread,0.6023,0.6487,1.7446,-0.3374,2.2897
Sourdough Toast Bread,0.8854,0.7179,0.9159,-0.3330,1.2694
Bacon,0.3971,0.6476,2.3002,-0.3065,3.2034
Breakfast Hash,0.9721,0.7070,0.8045,-0.2277,0.9739
P.Eggs on Toast,0.2711,0.6654,1.5144,-0.2159,1.8531
Tuna JP,0.5309,0.7079,1.4646,-0.2113,1.8759
Buttd Mushrooms,0.5451,0.8177,1.2406,-0.1827,1.4655
Porridge,1.1636,1.0666,0.4414,-0.1352,0.5069
"Avo, Egg & Bacon",0.5624,0.9942,1.9199,-0.1143,2.2682
Veggie Breakfast,0.6664,0.6664,1.4937,-0.1124,1.8322
Hash Brown,0.5186,0.7511,1.5023,-0.0951,1.8797
S.Eggs on Toast,0.5596,0.7868,1.8719,-0.0948,2.2524
Veggie Bap,1.1596,0.9765,0.6398,-0.0723,0.7342
Cheese JP,1.4270,0.8154,0.3937,-0.0489,0.5211
F.Eggs on Toast,0.7016,0.8018,1.1613,-0.0473,1.4485
Scrambled Egg,0.9003,0.6642,1.3970,-0.0469,1.7734
Egg Bacon Brioch,N/A,N/A,0.0000,0.0000,0.0000
Tuna Melt Panini,N/A,N/A,0.0000,0.0000,0.0000
Tuna Mayo Mix,N/A,N/A,0.0000,0.0000,0.0000
Avo & Hal Muffin,N/A,N/A,0.0000,0.0000,0.0000
Breakfast Wrap,N/A,N/A,0.0000,0.0000,0.0000
Hash Brown Bites,N/A,N/A,0.0000,0.0000,0.0000
Tuna Panini,N/A,N/A,0.0002,0.0002,0.0002
Little Egg Toast,N/A,N/A,0.0057,0.0057,0.0057
Veg Sausage Bap,N/A,N/A,0.0074,0.0074,0.0074
Baked Beans JP,1.7929,1.1953,0.2473,0.0130,0.3452
Little Avo Toast,N/A,N/A,0.0147,0.0147,0.0147
Little Bean Toas,N/A,N/A,0.0158,0.0158,0.0158
Roll & Butter ,0.5557,0.8058,1.1115,0.0176,1.7404
Streaky Bacon,1.8711,0.9355,0.2581,0.0278,0.3462
Extra Beans,N/A,N/A,0.0357,0.0357,0.0357
Vegan Sausage,N/A,N/A,0.0530,0.0530,0.0530
Vegan Breakfast,1.1138,0.9380,0.6145,0.0628,0.6762
Tuna Toastie,0.5149,0.6865,1.2783,0.0749,1.7388
Avocado on Toast,0.6934,0.8167,1.2673,0.1046,1.4898
Ltle Bfast Bacon,1.4426,0.9870,0.6467,0.1115,0.7478
Sausage,0.5285,0.8035,3.4079,0.1776,4.2092
Bean Soldiers,1.3706,1.1748,0.5672,0.2232,0.6008
Posh Beans,0.8861,0.6916,0.9777,0.2635,1.1269
Chilli Carne JP,0.7684,0.8291,1.0864,0.2825,1.2499
Ltle Bfast Saus,0.7998,1.0143,1.4341,0.3691,1.6473
"Avo, Feta & Tom",0.6709,0.8157,1.4344,0.3790,1.7149
Poached Egg,0.7069,0.8215,2.0963,0.4034,2.5302
Bacon Egg Brioch,0.6318,0.7433,1.3072,0.4594,1.6044
Mini Hash Browns,0.5630,0.7074,0.9513,0.4623,1.1807
Cheese & Bean JP,0.7511,0.7981,0.8806,0.4692,1.0276
Bacon Bap,0.2957,0.8056,4.3337,0.6783,5.3805
Chick Flatbread,2.0352,2.6711,1.4737,0.8969,1.5938
Bacon Waffle,0.7192,0.8567,2.0087,1.1075,2.6103
Toasted Teacake,0.3017,0.7857,2.6010,1.2837,3.1050
Chicken Club,2.8088,3.3289,3.0994,2.7942,3.3640
