evaluation_horizon,product_name,model_type,WAPE,MAE,Bias
1-Day,"Avo, Egg & Bacon",XGBoost_Improved_Daily,0.3865,2.32,-2.32
1-Day,"Avo, Feta & Tom",XGBoost_Improved_Hourly,0.0256,0.05,-0.05
1-Day,Avocado on Toast,XGBoost_Improved_Hourly,0.0189,0.06,-0.06
1-Day,Bacon,LSTM_Global_Daily,0.047,0.24,0.24
1-Day,Bacon Bap,LSTM_Global_Hourly,0.3254,8.46,-8.46
1-Day,Bacon Egg Brioch,XGBoost_Improved_Daily,0.2467,0.99,-0.99
1-Day,Bacon Waffle,Prophet_Hourly_Clustered,0.5527,6.63,-6.63
1-Day,Baked Beans,Prophet_Hourly_Clustered,0.1434,1.15,-1.15
1-Day,Bakery,LSTM_Global_Hourly,0.0818,4.09,4.09
1-Day,Big Breakfast,XGBoost_Simple_Daily,0.0917,3.03,-3.03
1-Day,Black Pudding,Prophet_Daily_Clustered,0.1814,0.91,-0.91
1-Day,Breakfast Muffin,Prophet_Hourly_Clustered,0.2952,2.66,-2.66
1-Day,Brown Toast Bread,Prophet_Hourly_Clustered,0.0104,0.08,-0.08
1-Day,Buttd Mushrooms,XGBoost_Improved_Hourly,0.1293,0.39,-0.39
1-Day,Cheese & Bean JP,LSTM_Global_Hourly,0.1315,0.39,-0.39
1-Day,Cheese JP,XGBoost_Simple_Daily,0.6436,0.64,-0.64
1-Day,Chick Flatbread,XGBoost_Simple_Hourly,0.359,0.36,0.36
1-Day,Chicken Club,ARIMA,0.039,0.16,0.16
1-Day,Chilli Carne JP,XGBoost_Improved_Hourly,0.3301,0.33,0.33
1-Day,F.Eggs on Toast,XGBoost_Improved_Daily,0.3486,1.05,-1.05
1-Day,Fried Egg,XGBoost_Improved_Hourly,0.0147,0.16,0.16
1-Day,Hash Brown,XGBoost_Improved_Hourly,0.1792,0.9,-0.9
1-Day,Ltle Bfast Bacon,Prophet_Hourly_Clustered,0.5721,1.72,-1.72
1-Day,Ltle Bfast Saus,ARIMA,0.0058,0.01,0.01
1-Day,Mini Hash Browns,Prophet_Hourly_Clustered,0.1013,0.2,-0.2
1-Day,Multiseed Toast Bread,LSTM_Global_Hourly,0.4283,2.14,-2.14
1-Day,P.Eggs on Toast,XGBoost_Improved_Hourly,0.0814,0.33,0.33
1-Day,Poached Egg,Prophet_Hourly_Clustered,0.0892,0.45,-0.45
1-Day,Porridge,XGBoost_Improved_Hourly,0.1761,0.18,-0.18
1-Day,Roll & Butter ,XGBoost_Improved_Hourly,0.3138,1.26,-1.26
1-Day,S.Eggs on Toast,LSTM_Global_Daily,0.4126,2.48,-2.48
1-Day,Sausage,LSTM_Global_Daily,0.3595,1.8,1.8
1-Day,Sausage Bap,XGBoost_Improved_Hourly,0.2677,4.55,-4.55
1-Day,Scrambled Egg,LSTM_Global_Daily,0.0095,0.02,-0.02
