model_type,run_id,evaluation_horizon,WAPE,MASE,MAE,Bias
XGBoost_Simple_Hourly,20260419_1558_XGBoost_Simple_Hourly,1-Month,0.471,1.0502,0.61,-0.4
XGBoost_Simple_Hourly,20260419_1558_XGBoost_Simple_Hourly,1-Week,0.3917,0.8685,0.51,-0.27
XGBoost_Simple_Hourly,20260419_1558_XGBoost_Simple_Hourly,1-Day,0.4296,1.005,0.73,-0.49
XGBoost_Simple_Daily,20260419_1553_XGBoost_Simple_Daily,1-Month,0.3717,0.8287,1.66,-0.4
XGBoost_Simple_Daily,20260419_1553_XGBoost_Simple_Daily,1-Week,0.3318,0.7352,1.51,-0.34
XGBoost_Simple_Daily,20260419_1553_XGBoost_Simple_Daily,1-Day,0.3488,0.8189,2.06,-0.77
XGBoost_Improved_Hourly,20260419_1550_XGBoost_Improved_Hourly,1-Month,0.3736,0.833,0.48,-0.04
XGBoost_Improved_Hourly,20260419_1550_XGBoost_Improved_Hourly,1-Week,0.3606,0.7994,0.47,0.03
XGBoost_Improved_Hourly,20260419_1550_XGBoost_Improved_Hourly,1-Day,0.3549,0.8302,0.61,-0.05
XGBoost_Improved_Daily,20260419_1540_XGBoost_Improved_Daily,1-Month,0.4035,0.9205,1.81,0.35
XGBoost_Improved_Daily,20260419_1540_XGBoost_Improved_Daily,1-Week,0.3664,0.8835,1.67,0.21
XGBoost_Improved_Daily,20260419_1540_XGBoost_Improved_Daily,1-Day,0.3066,0.7199,1.81,-0.64
Prophet_Hourly_Clustered,20260419_1515_Prophet_Hourly_Clustered,1-Month,0.3596,0.8017,1.61,0.15
Prophet_Hourly_Clustered,20260419_1515_Prophet_Hourly_Clustered,1-Week,0.3439,0.7622,1.57,0.03
Prophet_Hourly_Clustered,20260419_1515_Prophet_Hourly_Clustered,1-Day,0.3254,0.764,1.92,-0.55
Prophet_Daily_Clustered,20260419_1403_Prophet_Daily_Clustered,1-Month,0.354,0.7894,1.59,0.07
Prophet_Daily_Clustered,20260419_1403_Prophet_Daily_Clustered,1-Week,0.3299,0.731,1.5,-0.14
Prophet_Daily_Clustered,20260419_1403_Prophet_Daily_Clustered,1-Day,0.3231,0.7586,1.91,-0.77
ARIMA,20260419_1350_ARIMA,1-Month,0.3697,0.8242,1.66,-0.14
ARIMA,20260419_1350_ARIMA,1-Week,0.3311,0.7338,1.51,-0.2
ARIMA,20260419_1350_ARIMA,1-Day,0.332,0.7795,1.96,-1.14
LSTM_Global_Hourly,20260419_1339_LSTM_Global_Hourly,1-Month,0.4733,1.6799,2.09,-1.69
LSTM_Global_Hourly,20260419_1339_LSTM_Global_Hourly,1-Week,0.3524,1.2885,1.61,-1.04
LSTM_Global_Hourly,20260419_1339_LSTM_Global_Hourly,1-Day,0.3164,1.5034,1.87,-1.2
LSTM_Global_Daily,20260418_0237_LSTM_Global_Daily,1-Week,0.3139,0.8365,1.43,-0.43
LSTM_Global_Daily,20260418_0237_LSTM_Global_Daily,1-Month,0.3559,0.9325,1.59,-0.56
LSTM_Global_Daily,20260418_0237_LSTM_Global_Daily,1-Day,0.3239,1.1188,1.91,-1.16
