Date,Product_Name,Forecast,Actual_Sales,Error,Abs_Error
2025-11-02,Avo & Hal Muffin,0,0,0,0
2025-11-02,"Avo, Egg & Bacon",4,6,-2,2
2025-11-02,"Avo, Feta & Tom",3,2,1,1
2025-11-02,Avocado on Toast,2,3,-1,1
2025-11-02,Bacon,7,5,2,2
2025-11-02,Bacon Bap,15,26,-11,11
2025-11-02,Bacon Egg Brioch,3,4,-1,1
2025-11-02,Bacon Waffle,5,12,-7,7
2025-11-02,Baked Beans,6,8,-2,2
2025-11-02,Baked Beans JP,0,0,0,0
2025-11-02,Bakery,57,50,7,7
2025-11-02,Bean Soldiers,1,0,1,1
2025-11-02,Big Breakfast,25,33,-8,8
2025-11-02,Black Pudding,3,5,-2,2
2025-11-02,Breakfast Hash,1,0,1,1
2025-11-02,Breakfast Muffin,4,9,-5,5
2025-11-02,Breakfast Wrap,0,0,0,0
2025-11-02,Brown Toast Bread,9,8,1,1
2025-11-02,Buttd Mushrooms,3,3,0,0
2025-11-02,Cheese & Bean JP,2,3,-1,1
2025-11-02,Cheese JP,0,1,-1,1
2025-11-02,Chick Flatbread,3,1,2,2
2025-11-02,Chicken Club,5,4,1,1
2025-11-02,Chilli Carne JP,2,1,1,1
2025-11-02,Egg Bacon Brioch,0,0,0,0
2025-11-02,Egg Bap,1,0,1,1
2025-11-02,Extra Beans,1,0,1,1
2025-11-02,F.Eggs on Toast,2,3,-1,1
2025-11-02,Festive Stack,0,0,0,0
2025-11-02,Fried Egg,10,11,-1,1
2025-11-02,Hash Brown,4,5,-1,1
2025-11-02,Hash Brown Bites,0,0,0,0
2025-11-02,Little Avo Toast,0,0,0,0
2025-11-02,Little Bean Toas,0,0,0,0
2025-11-02,Little Egg Toast,0,0,0,0
2025-11-02,Ltle Bfast Bacon,1,3,-2,2
2025-11-02,Ltle Bfast Saus,3,2,1,1
2025-11-02,Mini Hash Browns,3,2,1,1
2025-11-02,Multiseed Toast Bread,2,5,-3,3
2025-11-02,P.Eggs on Toast,5,4,1,1
2025-11-02,Poached Egg,5,5,0,0
2025-11-02,Porridge,0,1,-1,1
2025-11-02,Posh Beans,1,0,1,1
2025-11-02,S.Eggs on Toast,3,6,-3,3
2025-11-02,Sausage,13,5,8,8
2025-11-02,Sausage Bap,10,17,-7,7
2025-11-02,Scrambled Egg,2,2,0,0
2025-11-02,Sourdough Toast Bread,1,5,-4,4
2025-11-02,Streaky Bacon,0,0,0,0
2025-11-02,Tattie Scone,3,0,3,3
2025-11-02,The Breakfast,50,44,6,6
2025-11-02,Toasted Teacake,11,10,1,1
2025-11-02,Tuna JP,2,7,-5,5
2025-11-02,Tuna Mayo Mix,0,0,0,0
2025-11-02,Tuna Melt Panini,0,0,0,0
2025-11-02,Tuna Panini,0,0,0,0
2025-11-02,Tuna Toastie,3,2,1,1
2025-11-02,Veg Sausage Bap,0,0,0,0
2025-11-02,Vegan Breakfast,1,1,0,0
2025-11-02,Vegan Sausage,0,0,0,0
2025-11-02,Veggie Bap,1,1,0,0
2025-11-02,Veggie Breakfast,3,3,0,0
2025-11-02,White Toast Bread,43,46,-3,3
2025-11-03,Avo & Hal Muffin,0,0,0,0
2025-11-03,"Avo, Egg & Bacon",3,3,0,0
2025-11-03,"Avo, Feta & Tom",2,1,1,1
2025-11-03,Avocado on Toast,2,1,1,1
2025-11-03,Bacon,5,6,-1,1
2025-11-03,Bacon Bap,15,8,7,7
2025-11-03,Bacon Egg Brioch,2,1,1,1
2025-11-03,Bacon Waffle,3,5,-2,2
2025-11-03,Baked Beans,4,3,1,1
2025-11-03,Baked Beans JP,0,0,0,0
2025-11-03,Bakery,51,56,-5,5
2025-11-03,Bean Soldiers,1,1,0,0
2025-11-03,Big Breakfast,14,12,2,2
2025-11-03,Black Pudding,2,7,-5,5
2025-11-03,Breakfast Hash,1,2,-1,1
2025-11-03,Breakfast Muffin,3,4,-1,1
2025-11-03,Breakfast Wrap,0,0,0,0
2025-11-03,Brown Toast Bread,7,7,0,0
2025-11-03,Buttd Mushrooms,2,2,0,0
2025-11-03,Cheese & Bean JP,2,2,0,0
2025-11-03,Cheese JP,0,0,0,0
2025-11-03,Chick Flatbread,2,2,0,0
2025-11-03,Chicken Club,3,3,0,0
2025-11-03,Chilli Carne JP,1,3,-2,2
2025-11-03,Egg Bacon Brioch,0,0,0,0
2025-11-03,Egg Bap,1,3,-2,2
2025-11-03,Extra Beans,1,0,1,1
2025-11-03,F.Eggs on Toast,1,1,0,0
2025-11-03,Festive Stack,0,0,0,0
2025-11-03,Fried Egg,8,3,5,5
2025-11-03,Hash Brown,2,3,-1,1
2025-11-03,Hash Brown Bites,0,0,0,0
2025-11-03,Little Avo Toast,0,0,0,0
2025-11-03,Little Bean Toas,0,0,0,0
2025-11-03,Little Egg Toast,0,0,0,0
2025-11-03,Ltle Bfast Bacon,1,0,1,1
2025-11-03,Ltle Bfast Saus,2,1,1,1
2025-11-03,Mini Hash Browns,2,2,0,0
2025-11-03,Multiseed Toast Bread,2,11,-9,9
