model_type,run_id,product_name,evaluation_horizon,WAPE,MASE,MAE,Bias
XGBoost_Improved_Hourly,20260419_1550_XGBoost_Improved_Hourly,Almd & Aprct Bar,1-Day,,,0.0,0.0
XGBoost_Simple_Hourly,20260419_1558_XGBoost_Simple_Hourly,Almd & Aprct Bar,1-Day,,,0.0,0.0
XGBoost_Improved_Hourly,20260419_1550_XGBoost_Improved_Hourly,Apl & Blk Smthie,1-Day,,,0.0,0.0
XGBoost_Simple_Hourly,20260419_1558_XGBoost_Simple_Hourly,Apl & Blk Smthie,1-Day,,,0.0,0.0
LSTM_Global_Daily,20260418_0237_LSTM_Global_Daily,Avo & Hal Muffin,1-Day,,0.0199,0.01,0.01
LSTM_Global_Hourly,20260419_1339_LSTM_Global_Hourly,Avo & Hal Muffin,1-Day,,0.3694,0.17,0.17
ARIMA,20260419_1350_ARIMA,Avo & Hal Muffin,1-Day,,,0.0,0.0
Prophet_Daily_Clustered,20260419_1403_Prophet_Daily_Clustered,Avo & Hal Muffin,1-Day,,,0.25,0.25
Prophet_Hourly_Clustered,20260419_1515_Prophet_Hourly_Clustered,Avo & Hal Muffin,1-Day,,,0.0,0.0
XGBoost_Improved_Daily,20260419_1540_XGBoost_Improved_Daily,Avo & Hal Muffin,1-Day,,,0.02,0.02
XGBoost_Improved_Hourly,20260419_1550_XGBoost_Improved_Hourly,Avo & Hal Muffin,1-Day,,,0.62,0.62
XGBoost_Simple_Daily,20260419_1553_XGBoost_Simple_Daily,Avo & Hal Muffin,1-Day,,,0.06,0.06
XGBoost_Simple_Hourly,20260419_1558_XGBoost_Simple_Hourly,Avo & Hal Muffin,1-Day,,,0.32,0.32
XGBoost_Simple_Daily,20260421_1606_XGBoost_Simple_Daily,Avo & Hal Muffin,1-Day,,,0.07,0.07
XGBoost_Improved_Daily,20260422_1136_XGBoost_Improved_Daily,Avo & Hal Muffin,1-Day,,,0.03,0.03
XGBoost_Improved_Daily,20260422_1136_XGBoost_Improved_Daily,"Avo, Egg & Bacon",1-Day,0.3865,1.1594,2.32,-2.32
Prophet_Daily_Clustered,20260419_1403_Prophet_Daily_Clustered,"Avo, Egg & Bacon",1-Day,0.3997,1.1991,2.4,-2.4
XGBoost_Simple_Daily,20260419_1553_XGBoost_Simple_Daily,"Avo, Egg & Bacon",1-Day,0.4036,1.2109,2.42,-2.42
ARIMA,20260419_1350_ARIMA,"Avo, Egg & Bacon",1-Day,0.4164,1.2492,2.5,-2.5
XGBoost_Simple_Daily,20260421_1606_XGBoost_Simple_Daily,"Avo, Egg & Bacon",1-Day,0.4203,1.2608,2.52,-2.52
XGBoost_Improved_Daily,20260419_1540_XGBoost_Improved_Daily,"Avo, Egg & Bacon",1-Day,0.4388,1.3164,2.63,-2.63
LSTM_Global_Hourly,20260419_1339_LSTM_Global_Hourly,"Avo, Egg & Bacon",1-Day,0.4541,5.5424,2.72,-2.72
Prophet_Hourly_Clustered,20260419_1515_Prophet_Hourly_Clustered,"Avo, Egg & Bacon",1-Day,0.4586,1.3758,2.75,-2.75
LSTM_Global_Daily,20260418_0237_LSTM_Global_Daily,"Avo, Egg & Bacon",1-Day,0.5301,6.4461,3.18,-3.18
XGBoost_Improved_Hourly,20260419_1550_XGBoost_Improved_Hourly,"Avo, Egg & Bacon",1-Day,0.5653,1.696,3.39,-3.39
