Date,Product_Name,Forecast
2026-01-01,Avo & Hal Muffin,0
2026-01-01,"Avo, Egg & Bacon",3
2026-01-01,"Avo, Feta & Tom",2
2026-01-01,Avocado on Toast,2
2026-01-01,Bacon,6
2026-01-01,Bacon Bap,13
2026-01-01,Bacon Egg Brioch,2
2026-01-01,Bacon Waffle,3
2026-01-01,Baked Beans,4
2026-01-01,Baked Beans JP,0
2026-01-01,Bakery,47
2026-01-01,Bean Soldiers,0
2026-01-01,Big Breakfast,15
2026-01-01,Black Pudding,2
2026-01-01,Breakfast Hash,1
2026-01-01,Breakfast Muffin,3
2026-01-01,Breakfast Wrap,0
2026-01-01,Brown Toast Bread,9
2026-01-01,Buttd Mushrooms,2
2026-01-01,Cheese & Bean JP,1
2026-01-01,Cheese JP,0
2026-01-01,Chick Flatbread,0
2026-01-01,Chicken Club,0
2026-01-01,Chilli Carne JP,2
2026-01-01,Egg Bacon Brioch,0
2026-01-01,Egg Bap,2
2026-01-01,Extra Beans,0
2026-01-01,F.Eggs on Toast,1
2026-01-01,Festive Stack,4
2026-01-01,Fried Egg,7
2026-01-01,Hash Brown,4
2026-01-01,Hash Brown Bites,0
2026-01-01,Little Avo Toast,0
2026-01-01,Little Bean Toas,0
2026-01-01,Little Egg Toast,0
2026-01-01,Ltle Bfast Bacon,1
2026-01-01,Ltle Bfast Saus,2
2026-01-01,Mini Hash Browns,1
2026-01-01,Multiseed Toast Bread,3
2026-01-01,P.Eggs on Toast,7
2026-01-01,Poached Egg,4
2026-01-01,Porridge,0
2026-01-01,Posh Beans,1
2026-01-01,,16
2026-01-01,S.Eggs on Toast,3
2026-01-01,Sausage,6
2026-01-01,Sausage Bap,11
2026-01-01,Scrambled Egg,1
2026-01-01,Sourdough Toast Bread,1
2026-01-01,Streaky Bacon,0
2026-01-01,Tattie Scone,2
2026-01-01,The Breakfast,23
2026-01-01,Toasted Teacake,9
2026-01-01,Tuna JP,2
2026-01-01,Tuna Mayo Mix,0
2026-01-01,Tuna Melt Panini,0
2026-01-01,Tuna Panini,0
2026-01-01,Tuna Toastie,3
2026-01-01,Veg Sausage Bap,0
2026-01-01,Vegan Breakfast,1
2026-01-01,Vegan Sausage,0
2026-01-01,Veggie Bap,0
2026-01-01,Veggie Breakfast,2
2026-01-01,White Toast Bread,24
2026-01-02,Avo & Hal Muffin,0
2026-01-02,"Avo, Egg & Bacon",3
2026-01-02,"Avo, Feta & Tom",3
2026-01-02,Avocado on Toast,2
2026-01-02,Bacon,7
2026-01-02,Bacon Bap,18
2026-01-02,Bacon Egg Brioch,2
2026-01-02,Bacon Waffle,3
2026-01-02,Baked Beans,4
2026-01-02,Baked Beans JP,0
2026-01-02,Bakery,53
2026-01-02,Bean Soldiers,0
