Product,MAE,RMSE,MASE,Bias
Avo & Hal Muffin,0.0005,0.0018,0.0011,0.0005
"Avo, Egg & Bacon",1.8169,2.2727,3.6825,-0.9556
"Avo, Feta & Tom",1.2622,1.7086,2.6612,-0.2054
Avocado on Toast,1.0965,1.3942,0.5215,-0.5140
Bacon,2.0784,3.1421,0.5248,-1.0878
Bacon Bap,4.2969,5.8124,0.8687,-2.0820
Bacon Egg Brioch,1.0955,1.4609,21.9419,-0.2255
Bacon Waffle,1.5343,2.1087,0.6809,0.0316
Baked Beans,2.5401,2.8915,1.0704,-1.4130
Baked Beans JP,0.1444,0.3709,0.6668,-0.1308
Bakery,11.2356,13.0130,0.9427,-1.2950
Bean Soldiers,0.4592,0.6423,4.8110,-0.2645
Big Breakfast,5.5915,7.2673,1.4211,-2.7791
Black Pudding,1.7277,2.3715,0.8639,-1.1577
Breakfast Hash,0.8327,1.1930,6.0004,-0.6623
Breakfast Muffin,1.8954,2.4790,1.5088,-1.6071
Breakfast Wrap,0.0006,0.0020,0.0014,0.0006
Brown Toast Bread,2.9931,3.8950,0.9644,-2.8861
Buttd Mushrooms,1.2740,1.6020,41.3151,-0.7805
Cheese & Bean JP,0.9297,1.0971,0.8419,0.3805
Cheese JP,0.2779,0.5735,0.9233,-0.2566
Chick Flatbread,1.1925,1.3984,3.5540,0.6719
Chicken Club,2.2847,2.5022,3.0748,1.8262
Chilli Carne JP,1.0072,1.2073,2.7328,0.0812
Egg Bacon Brioch,0.0006,0.0022,0.0004,0.0006
Egg Bap,1.2586,1.6420,42.8539,-0.5432
Extra Beans,0.0035,0.0092,1.2062,0.0035
F.Eggs on Toast,1.3197,1.5805,1.0462,-0.3271
Festive Stack,2.7248,3.8011,272477041.2877,-2.7235
Fried Egg,4.2235,5.1488,1.1377,-3.1628
Hash Brown,1.5459,2.1213,0.5576,-0.9572
Hash Brown Bites,0.0007,0.0023,0.0166,0.0007
Little Avo Toast,0.0007,0.0024,0.0026,0.0007
Little Bean Toas,0.0007,0.0024,0.0006,0.0007
Little Egg Toast,0.0007,0.0024,0.0010,0.0007
Ltle Bfast Bacon,0.4667,0.7903,7.6587,-0.3314
Ltle Bfast Saus,1.3431,1.5719,10.0514,-0.0213
Mini Hash Browns,0.9445,1.1531,1.4601,0.3696
Multiseed Toast Bread,1.7621,2.3406,1.5180,-0.7581
P.Eggs on Toast,1.6918,2.0622,0.7287,-0.9488
Poached Egg,1.9875,2.5002,0.9432,-0.1628
Porridge,0.3742,0.5964,9.2656,-0.3562
Posh Beans,0.9106,1.1288,0.8968,0.1219
Roll & Butter ,1.0809,1.7854,0.5958,-0.3250
S.Eggs on Toast,1.8595,2.2678,0.9600,-0.8159
Sausage,2.9608,3.9267,0.5893,-0.6824
Sausage Bap,4.4638,5.3196,1.1480,-3.8246
Scrambled Egg,1.3247,1.8979,0.9476,-0.4242
Sourdough Toast Bread,0.8613,1.2608,1.0474,-0.5490
Streaky Bacon,0.1444,0.3696,0.4030,-0.1298
Tattie Scone,1.6534,2.1105,0.7885,-0.9636
The Breakfast,5.3996,7.2441,0.5370,-0.8130
Toasted Teacake,2.6700,3.4490,0.6170,-0.4241
Tuna JP,1.5332,2.0009,0.9859,-0.7174
Tuna Mayo Mix,0.0006,0.0023,63875.2662,0.0006
Tuna Melt Panini,0.0006,0.0023,63805.5904,0.0006
Tuna Panini,0.0006,0.0023,0.0004,0.0006
Tuna Toastie,1.2936,1.9311,7.1332,-0.3983
Veg Sausage Bap,0.0006,0.0023,0.0228,0.0006
Vegan Breakfast,0.4791,0.6923,0.4073,-0.2312
Vegan Sausage,0.0025,0.0072,0.0110,0.0025
Veggie Bap,0.5793,0.8763,1.1097,-0.4620
Veggie Breakfast,1.4423,1.8298,1.7292,-0.4857
White Toast Bread,6.1525,7.9423,0.6179,0.5315
