Product,MAE,RMSE,MASE,Bias
Avo & Hal Muffin,0.1704,0.1704,0.3694,0.1704
"Avo, Egg & Bacon",2.8357,3.5151,5.7688,-2.6380
"Avo, Feta & Tom",1.9479,2.5467,4.1230,-1.9114
Avocado on Toast,1.5816,2.0797,0.7529,-1.5208
Bacon,3.5140,4.3365,0.8814,-3.1535
Bacon Bap,5.5258,6.7005,1.1170,-4.2266
Bacon Egg Brioch,1.2733,1.7909,25.4851,-1.0329
Bacon Waffle,1.9772,2.6446,0.8780,-1.6193
Baked Beans,3.1898,4.0013,1.3399,-2.9614
Baked Beans JP,0.2646,0.3510,1.2249,0.0276
Bean Soldiers,0.4416,0.5995,4.6227,-0.2224
Big Breakfast,4.8321,6.6355,1.2265,-3.8161
Black Pudding,2.3693,3.1371,1.1842,-2.3206
Breakfast Hash,0.8214,1.1646,5.9784,-0.6510
Breakfast Muffin,3.3885,3.9233,2.7017,-3.3885
Breakfast Wrap,0.1704,0.1704,0.4360,0.1704
Buttd Mushrooms,1.9261,2.4011,65.5368,-1.9018
Cheese & Bean JP,0.9267,1.1583,0.8375,-0.6357
Cheese JP,0.3709,0.5374,1.2343,-0.1153
Chick Flatbread,0.6490,1.2116,1.9457,-0.3641
Chicken Club,0.8785,1.4428,1.1838,-0.2661
Chilli Carne JP,1.2111,1.6572,3.2967,-0.9930
Egg Bacon Brioch,0.1704,0.1704,0.1190,0.1704
Egg Bap,1.6369,2.2085,58.6273,-1.5360
Extra Beans,0.1704,0.1704,57.9917,0.1704
F.Eggs on Toast,1.5727,2.0599,1.2466,-1.4831
Festive Stack,2.6656,3.7076,266558861.7325,-2.5438
Fried Egg,5.7454,6.7507,1.5444,-5.3331
Hash Brown,2.3166,2.9093,0.8354,-2.2312
Hash Brown Bites,0.1704,0.1704,4.2957,0.1704
Little Avo Toast,0.1704,0.1704,0.6666,0.1704
Little Bean Toas,0.1704,0.1704,0.1637,0.1704
Little Egg Toast,0.1704,0.1704,0.2505,0.1704
Ltle Bfast Bacon,0.5252,0.8320,8.7163,-0.2938
Ltle Bfast Saus,1.5147,1.9576,11.3895,-1.0978
Mini Hash Browns,1.3643,1.7087,2.1076,-1.1583
P.Eggs on Toast,3.2027,3.5998,1.3798,-2.7964
Poached Egg,2.1923,3.0134,1.0371,-1.7534
Posh Beans,1.0721,1.4395,1.0558,-0.8638
Roll & Butter ,1.5945,2.3838,0.8782,-1.5478
S.Eggs on Toast,2.4173,3.0607,1.2481,-2.2316
Sausage,3.7899,4.5127,0.7522,-2.8540
Sausage Bap,7.7695,8.8381,1.9993,-7.6465
Scrambled Egg,1.4806,2.2399,1.0583,-1.3467
Streaky Bacon,0.2646,0.3510,0.7380,0.0276
Tattie Scone,2.0691,2.7577,0.9860,-1.9013
The Breakfast,10.0347,11.9461,0.9975,-9.2840
Toasted Teacake,3.6846,4.5418,0.8516,-3.2497
Tuna JP,2.3483,2.8991,1.5047,-2.2283
Tuna Mayo Mix,0.1704,0.1704,17043915.3910,0.1704
Tuna Melt Panini,0.1704,0.1704,17043915.3910,0.1704
Tuna Panini,0.1704,0.1704,0.1169,0.1704
Tuna Toastie,2.0616,2.6934,11.7891,-1.8076
Veg Sausage Bap,0.1704,0.1704,6.1044,0.1704
Vegan Breakfast,0.5799,0.7837,0.4927,-0.3973
Vegan Sausage,0.1704,0.1704,0.7631,0.1704
Veggie Bap,0.5722,0.8172,1.0985,-0.3653
Veggie Breakfast,1.9820,2.5629,2.3767,-1.9090
Bakery,9.6549,11.8898,0.8105,-2.3731
White Toast Bread,9.3986,11.8555,0.9439,-8.7389
Brown Toast Bread,4.8091,5.7637,1.5495,-4.6460
Porridge,0.4294,0.5366,10.8220,-0.2224
Sourdough Toast Bread,0.9441,1.3825,1.1401,-0.7980
Multiseed Toast Bread,2.1821,2.8674,1.8820,-1.9234
