Product,Cluster,WAPE,MASE,MAE,Bias,RMSE
Festive Stack,2,1.0000,1.7556,2.7241,-2.7241,3.8011
The Breakfast,1,0.1708,0.4666,5.8088,-1.9957,7.3526
Bakery,1,0.1589,0.9332,10.0077,-1.6846,11.4323
Tuna Toastie,3,0.6113,0.8151,1.5178,-1.0724,2.0509
"Avo, Egg & Bacon",0,0.5072,0.8966,1.7314,-0.9535,2.1592
Black Pudding,0,0.6146,0.6891,1.5684,-0.8785,2.1606
Buttd Mushrooms,0,0.6928,1.0392,1.5767,-0.8216,1.9345
Egg Bap,0,0.8088,0.7077,1.3667,-0.7222,1.7996
Fried Egg,0,0.4022,0.8345,3.4531,-0.7112,4.1461
Baked Beans,0,0.3981,0.6694,2.1005,-0.6626,2.5655
Bacon,0,0.3973,0.6481,2.3017,-0.5330,3.1436
Poached Egg,0,0.5835,0.6781,1.7303,-0.5065,2.3532
Veggie Breakfast,0,0.5870,0.5870,1.3156,-0.4803,1.6934
Sausage Bap,1,0.2541,0.7311,3.0756,-0.4201,3.5632
Bacon Egg Brioch,0,0.7942,0.9344,1.6433,-0.4125,1.8160
Multiseed Toast Bread,0,0.5594,0.6024,1.6203,-0.3377,2.2939
Tuna JP,3,0.5739,0.7653,1.5833,-0.3330,1.9522
Chilli Carne JP,3,0.6678,0.7205,0.9441,-0.2568,1.1909
Mini Hash Browns,3,0.4649,0.5841,0.7855,-0.1746,1.0432
Posh Beans,0,0.8956,0.6990,0.9883,-0.1332,1.2254
Baked Beans JP,3,1.3395,0.8930,0.1848,-0.0718,0.3515
Vegan Breakfast,0,0.9427,0.7938,0.5201,-0.0634,0.5940
Sourdough Toast Bread,0,0.8547,0.6930,0.8842,-0.0629,1.1995
Hash Brown,0,0.6735,0.9755,1.9510,-0.0349,2.2260
Veggie Bap,0,1.1530,0.9710,0.6361,-0.0075,0.7194
Tuna Mayo Mix,2,N/A,N/A,0.0000,0.0000,0.0000
Egg Bacon Brioch,0,N/A,N/A,0.0000,0.0000,0.0000
Tuna Melt Panini,0,N/A,N/A,0.0000,0.0000,0.0000
Avo & Hal Muffin,0,N/A,N/A,0.0001,0.0001,0.0002
Vegan Sausage,0,N/A,N/A,0.0003,0.0003,0.0005
Cheese JP,3,1.5149,0.8656,0.4179,0.0006,0.5220
Little Avo Toast,0,N/A,N/A,0.0009,0.0009,0.0017
Veg Sausage Bap,3,N/A,N/A,0.0013,0.0013,0.0025
Breakfast Wrap,0,N/A,N/A,0.0017,0.0017,0.0020
Little Bean Toas,0,N/A,N/A,0.0066,0.0066,0.0145
Little Egg Toast,0,N/A,N/A,0.0073,0.0073,0.0162
Hash Brown Bites,3,N/A,N/A,0.0081,0.0081,0.0155
Tuna Panini,3,N/A,N/A,0.0190,0.0190,0.0315
Streaky Bacon,3,1.7874,0.8937,0.2465,0.0302,0.3323
Brown Toast Bread,0,0.2349,0.7285,1.9845,0.0421,2.4315
Extra Beans,3,N/A,N/A,0.0554,0.0554,0.1046
Tattie Scone,0,0.6574,0.7028,1.4055,0.2018,1.7973
Breakfast Muffin,0,0.4166,0.6505,1.6375,0.2045,1.8936
Breakfast Hash,0,1.0600,0.7709,0.8773,0.2445,1.0064
Cheese & Bean JP,3,0.7149,0.7596,0.8381,0.3309,0.9659
Avocado on Toast,0,0.6758,0.7959,1.2351,0.3844,1.4084
Big Breakfast,0,0.1848,0.4075,3.0772,0.4454,3.8903
S.Eggs on Toast,0,0.5701,0.8015,1.9069,0.4552,2.2978
F.Eggs on Toast,0,0.7643,0.8735,1.2651,0.4638,1.5258
"Avo, Feta & Tom",0,0.7510,0.9129,1.6055,0.6457,2.0395
Scrambled Egg,0,1.0517,0.7759,1.6320,0.7381,1.9452
Porridge,0,2.1018,1.9266,0.7972,0.7465,0.9077
Sausage,0,0.4145,0.6302,2.6730,0.7973,3.5208
Roll & Butter ,0,0.8699,1.2613,1.7398,0.8021,2.1250
Bacon Waffle,0,0.7135,0.8499,1.9929,1.0519,2.4355
Bean Soldiers,0,3.1881,2.7326,1.3192,1.2905,1.5866
Ltle Bfast Bacon,0,3.1737,2.1715,1.4227,1.2913,1.5665
P.Eggs on Toast,0,0.3676,0.9023,2.0535,1.3451,2.6422
Toasted Teacake,1,0.2844,0.7405,2.4513,1.6814,2.8903
Ltle Bfast Saus,0,1.1409,1.4470,2.0457,1.9192,2.5466
Bacon Bap,1,0.3162,0.8614,4.6336,1.9519,5.6827
White Toast Bread,1,0.1723,0.6212,5.4193,2.6307,6.9433
Chicken Club,3,3.0439,3.6076,3.3588,2.7241,3.6816
Chick Flatbread,3,4.0479,5.3128,2.9312,2.9312,3.6215
