Product,MAE,RMSE,MAPE,MASE,Bias
Almd & Aprct Bar,0.0000,0.0000,0.0000,0.0000,0.0000
Apl & Blk Smthie,0.0000,0.0000,0.0000,0.0000,0.0000
BD Curry Roll,0.0000,0.0000,0.0000,0.0000,0.0000
BLT,0.0000,0.0000,0.0000,0.0000,0.0000
Banana Bread,0.0000,0.0000,0.0000,0.0000,0.0000
Beyond Burger,0.0000,0.0000,0.0000,0.0000,0.0000
Beef Hors Foca,0.0000,0.0000,0.0000,0.0000,0.0000
Brie Bacon Crois,0.0000,0.0000,0.0000,0.0000,0.0000
Breakfast Bap,0.0000,0.0000,0.0000,0.0000,0.0000
Brunch Burger,0.0000,0.0000,0.0000,0.0000,0.0000
Brie Cranb Tstie,0.0000,0.0000,0.0000,0.0000,0.0000
Blk Forest Syrup,0.0000,0.0000,0.0000,0.0000,0.0000
Bre Cran Toastie,0.0000,0.0000,0.0000,0.0000,0.0000
Beef Burger,0.0000,0.0000,0.0000,0.0000,0.0000
Chse Tom Toastie,0.0000,0.0000,0.0000,0.0000,0.0000
Coconut Kefir,0.0000,0.0000,0.0000,0.0000,0.0000
Chicken Strips,0.0000,0.0000,0.0000,0.0000,0.0000
Chicken Waffles,0.0000,0.0000,0.0000,0.0000,0.0000
Chicken Wrap,0.0000,0.0000,0.0000,0.0000,0.0000
Chickn Rice Bowl,0.0000,0.0000,0.0000,0.0000,0.0000
Chips,0.0000,0.0000,0.0000,0.0000,0.0000
Chicken Breast,0.0000,0.0000,0.0000,0.0000,0.0000
Chicken Burger,0.0000,0.0000,0.0000,0.0000,0.0000
Chicken Goujons,0.0000,0.0000,0.0000,0.0000,0.0000
Cheese Scone,0.0000,0.0000,0.0000,0.0000,0.0000
Chick Chzo Tstie,0.0000,0.0000,0.0000,0.0000,0.0000
Chick Rice Bowl,0.0000,0.0000,0.0000,0.0000,0.0000
Cheese Sandwich,0.0000,0.0000,0.0000,0.0000,0.0000
Cheese Pizza,0.0000,0.0000,0.0000,0.0000,0.0000
Cheese Sand PnM,0.0000,0.0000,0.0000,0.0000,0.0000
Cheese Extra,0.0000,0.0000,0.0000,0.0000,0.0000
Butter,0.0000,0.0000,0.0000,0.0000,0.0000
DairyFree Butter,0.0000,0.0000,0.0000,0.0000,0.0000
Coleslaw,0.0000,0.0000,0.0000,0.0000,0.0000
Cinnamon Dusting,0.0000,0.0000,0.0000,0.0000,0.0000
Clotted Cream,0.0000,0.0000,0.0000,0.0000,0.0000
Cream,0.0000,0.0000,0.0000,0.0000,0.0000
Chorizo,0.0000,0.0000,0.0000,0.0000,0.0000
Chorizo & Eggs,0.0000,0.0000,0.0000,0.0000,0.0000
Chse Onion Tstie,0.0000,0.0000,0.0000,0.0000,0.0000
Halloumi,0.0000,0.0000,0.0000,0.0000,0.0000
Gravy,0.0000,0.0000,0.0000,0.0000,0.0000
Ham Chse Panini,0.0000,0.0000,0.0000,0.0000,0.0000
Ham Chse Crois,0.0000,0.0000,0.0000,0.0000,0.0000
Ham Chse Crios,0.0000,0.0000,0.0000,0.0000,0.0000
Halloumi Rice,0.0000,0.0000,0.0000,0.0000,0.0000
Halloumi Burger,0.0000,0.0000,0.0000,0.0000,0.0000
Halloumi Bowl,0.0000,0.0000,0.0000,0.0000,0.0000
Gingbread Syrup,0.0000,0.0000,0.0000,0.0000,0.0000
Goat Chse Panini,0.0000,0.0000,0.0000,0.0000,0.0000
Goats Ch Toastie,0.0000,0.0000,0.0000,0.0000,0.0000
Goats Onion Foca,0.0000,0.0000,0.0000,0.0000,0.0000
Granola Bowl,0.0000,0.0000,0.0000,0.0000,0.0000
Granola Waffle,0.0000,0.0000,0.0000,0.0000,0.0000
Fish Fingers,0.0000,0.0000,0.0000,0.0000,0.0000
Garlic Bread,0.0000,0.0000,0.0000,0.0000,0.0000
Finest FSC,0.0000,0.0000,0.0000,0.0000,0.0000
Fish & Chips,0.0000,0.0000,0.0000,0.0000,0.0000
Fish Fing Roll,0.0000,0.0000,0.0000,0.0000,0.0000
Fish Finger Wrap,0.0000,0.0000,0.0000,0.0000,0.0000
Extra Tuna,0.0000,0.0000,0.0000,0.0000,0.0000
Fest Plough Foca,0.0000,0.0000,0.0000,0.0000,0.0000
Egg Soldiers,0.0000,0.0000,0.0000,0.0000,0.0000
Deli Bagel,0.0000,0.0000,0.0000,0.0000,0.0000
Kids Jacket Pota,0.0000,0.0000,0.0000,0.0000,0.0000
Kids Lentil Curl,0.0000,0.0000,0.0000,0.0000,0.0000
Kids Broccoli,0.0000,0.0000,0.0000,0.0000,0.0000
Kids Carrot Mash,0.0000,0.0000,0.0000,0.0000,0.0000
Kids Chips,0.0000,0.0000,0.0000,0.0000,0.0000
Kids Crumpets,0.0000,0.0000,0.0000,0.0000,0.0000
Italian Bagel,0.0000,0.0000,0.0000,0.0000,0.0000
Ice Drinks,0.0000,0.0000,0.0000,0.0000,0.0000
Jams,0.0000,0.0000,0.0000,0.0000,0.0000
Katsu Rice Bowl,0.0000,0.0000,0.0000,0.0000,0.0000
Italian Foccacia,0.0000,0.0000,0.0000,0.0000,0.0000
Jacket Potato,0.0000,0.0000,0.0000,0.0000,0.0000
Katsu Wrap,0.0000,0.0000,0.0000,0.0000,0.0000
Kid Chick Strips,0.0000,0.0000,0.0000,0.0000,0.0000
Kids Beans,0.0000,0.0000,0.0000,0.0000,0.0000
Kids Banana,0.0000,0.0000,0.0000,0.0000,0.0000
Kids Mini Pizza,0.0000,0.0000,0.0000,0.0000,0.0000
Kids Peas,0.0000,0.0000,0.0000,0.0000,0.0000
Kids Mac Cheese,0.0000,0.0000,0.0000,0.0000,0.0000
Kids Mash,0.0000,0.0000,0.0000,0.0000,0.0000
Kids Popcorn,0.0000,0.0000,0.0000,0.0000,0.0000
Kids Sausage,0.0000,0.0000,0.0000,0.0000,0.0000
Kids Drinks,0.0000,0.0000,0.0000,0.0000,0.0000
Kids Eat Free,0.0000,0.0000,0.0000,0.0000,0.0000
Ham Chse Toastie,0.0000,0.0000,0.0000,0.0000,0.0000
Ham Egg Stk Roll,0.0000,0.0000,0.0000,0.0000,0.0000
Ice Cream Sundae,0.0000,0.0000,0.0000,0.0000,0.0000
Hot Drinks,0.0000,0.0000,0.0000,0.0000,0.0000
Honey Chick Wrap,0.0000,0.0000,0.0000,0.0000,0.0000
Hot Cross Bun,0.0000,0.0000,0.0000,0.0000,0.0000
Ham Sandwich,0.0000,0.0000,0.0000,0.0000,0.0000
Ham Sand PnM,0.0000,0.0000,0.0000,0.0000,0.0000
Pancakes Bluebry,0.0000,0.0000,0.0000,0.0000,0.0000
Panini Rolls,0.0000,0.0000,0.0000,0.0000,0.0000
Parmesan Fries,0.0000,0.0000,0.0000,0.0000,0.0000
Pastel De Nata,0.0000,0.0000,0.0000,0.0000,0.0000
Peas,0.0000,0.0000,0.0000,0.0000,0.0000
Pig Blank Tstie,0.0000,0.0000,0.0000,0.0000,0.0000
Pink Lemon Slush,0.0000,0.0000,0.0000,0.0000,0.0000
Pistachio Syrup,0.0000,0.0000,0.0000,0.0000,0.0000
Mushroom Crois,0.0000,0.0000,0.0000,0.0000,0.0000
Mushy Peas,0.0000,0.0000,0.0000,0.0000,0.0000
Mozz Toastie,0.0000,0.0000,0.0000,0.0000,0.0000
Pancakes Banana,0.0000,0.0000,0.0000,0.0000,0.0000
Nduja Mozz Tstie,0.0000,0.0000,0.0000,0.0000,0.0000
NY Deli Foccacia,0.0000,0.0000,0.0000,0.0000,0.0000
Orange Switchel,0.0000,0.0000,0.0000,0.0000,0.0000
Orange Buttons,0.0000,0.0000,0.0000,0.0000,0.0000
Mac and Cheese,0.0000,0.0000,0.0000,0.0000,0.0000
Marshmallows,0.0000,0.0000,0.0000,0.0000,0.0000
Milks Extra,0.0000,0.0000,0.0000,0.0000,0.0000
Moz Tom Focaccia,0.0000,0.0000,0.0000,0.0000,0.0000
Mushroom,0.0000,0.0000,0.0000,0.0000,0.0000
Loaded Hot Dog,0.0000,0.0000,0.0000,0.0000,0.0000
Loaded Nachos,0.0000,0.0000,0.0000,0.0000,0.0000
