Product,MAE,RMSE,MAPE,MASE,Bias
Tuna Mayo Mix,0.0227,0.0234,N/A,N/A,0.0227
Tuna Melt Panini,0.0227,0.0234,N/A,N/A,0.0227
Veg Sausage Bap,0.0230,0.0237,N/A,N/A,0.0230
Hash Brown Bites,0.0242,0.0248,N/A,N/A,0.0242
Avo & Hal Muffin,0.0568,0.0580,N/A,N/A,0.0568
Egg Bacon Brioch,0.0794,0.0828,N/A,N/A,0.0794
Little Avo Toast,0.1014,0.1015,N/A,N/A,0.1014
Vegan Sausage,0.1026,0.1162,N/A,N/A,0.1026
Breakfast Wrap,0.1098,0.1102,N/A,N/A,0.1098
Baked Beans JP,0.2121,0.3292,0.8124,1.0250,-0.0121
Streaky Bacon,0.2364,0.3278,0.7393,0.8570,0.0325
Tuna Panini,0.2380,0.2398,N/A,N/A,0.2380
Cheese JP,0.3148,0.4944,0.7482,0.6522,-0.1108
Little Egg Toast,0.3513,0.3516,N/A,N/A,0.3513
Bean Soldiers,0.4184,0.5742,0.5108,0.8667,-0.0207
Porridge,0.4397,0.6142,0.9719,1.0626,-0.2976
Little Bean Toas,0.4673,0.4683,N/A,N/A,0.4673
Ltle Bfast Bacon,0.4695,0.7253,0.7361,0.7167,-0.1768
Veggie Bap,0.6158,0.7661,0.7347,0.9400,-0.2239
Vegan Breakfast,0.6785,0.7622,0.4127,1.0356,0.1756
Cheese & Bean JP,0.6960,0.8639,0.3004,0.6307,-0.1327
Breakfast Hash,0.7957,1.0856,0.7868,0.6993,-0.5274
Mini Hash Browns,0.8966,1.1281,0.4688,0.6667,0.0856
Sourdough Toast Bread,0.9256,1.2992,0.5880,0.7255,-0.4857
Chilli Carne JP,1.0430,1.2440,0.4137,0.7960,-0.0966
Posh Beans,1.0443,1.2192,0.4030,0.7387,0.2851
F.Eggs on Toast,1.1545,1.5026,0.4131,0.7971,-0.3488
Roll & Butter ,1.1664,1.7856,0.5878,0.8456,-0.0204
Egg Bap,1.2144,1.5959,0.4603,0.6289,-0.4264
Bacon Egg Brioch,1.2159,1.5474,0.4373,0.6914,0.0875
"Avo, Feta & Tom",1.2430,1.6502,0.4695,0.7068,-0.4543
Tuna Toastie,1.2615,1.7417,0.5760,0.6775,0.0620
Scrambled Egg,1.2740,1.8426,0.4446,0.6057,-0.5110
Ltle Bfast Saus,1.3466,1.6025,0.4824,0.9525,-0.1730
Buttd Mushrooms,1.3796,1.5935,0.6585,0.9093,-0.4170
Hash Brown,1.4735,1.8707,0.3175,0.7367,-0.1132
Tuna JP,1.5272,2.0671,0.4745,0.7382,-0.9397
Veggie Breakfast,1.5392,1.9669,0.4879,0.6867,-0.6913
Avocado on Toast,1.5869,1.8011,0.9898,1.0227,0.9866
Tattie Scone,1.5914,1.9762,0.4650,0.7957,-0.4585
Bacon Waffle,1.6365,2.2360,0.6685,0.6979,0.3176
Black Pudding,1.6902,2.3067,0.4972,0.7427,-1.0682
Breakfast Muffin,1.7251,2.2861,0.5353,0.6853,-1.0835
Poached Egg,1.7372,2.3850,0.5423,0.6808,-0.5193
S.Eggs on Toast,1.9198,2.3883,0.6488,0.8069,-0.8709
"Avo, Egg & Bacon",1.9989,2.4973,0.5802,1.0351,-1.2242
Multiseed Toast Bread,2.1575,2.9508,0.5863,0.8022,-1.9470
Chick Flatbread,2.2586,2.3818,0.8131,4.0936,2.0624
Extra Beans,2.3125,2.3387,N/A,N/A,2.3125
Bacon,2.3390,3.1269,0.5825,0.6585,-0.1921
P.Eggs on Toast,2.3867,2.7893,0.4013,1.0487,-2.0761
Chicken Club,2.5194,2.6628,0.8884,2.7060,2.0261
Brown Toast Bread,2.5211,3.3380,0.2549,0.9255,-2.4415
Toasted Teacake,2.5598,3.1092,0.4135,0.7733,1.5283
Festive Stack,2.7177,3.7839,0.9934,1.7514,-2.7014
Baked Beans,2.8222,3.3074,0.5766,0.8994,-2.2223
Sausage,3.0969,3.7098,0.7300,0.7302,0.8870
Fried Egg,3.9148,4.4965,0.6279,0.9461,-1.6607
Bacon Bap,4.0571,5.2542,0.3148,0.7542,-0.8398
Sausage Bap,4.1253,4.9059,0.3123,0.9806,-3.6023
Big Breakfast,4.3572,5.7129,0.3101,0.5770,-1.3280
White Toast Bread,6.2875,8.1957,0.2099,0.7207,-0.8415
The Breakfast,6.8127,8.7812,0.2749,0.5473,0.2378
Bakery,10.7641,13.5244,0.1612,1.0037,-7.3242
