Product,WAPE,MASE,MAE,Bias,RMSE
The Breakfast,0.3595,0.9819,12.2230,-9.6108,15.9427
Sausage Bap,0.6579,1.8928,7.9628,-7.9397,9.0471
White Toast Bread,0.2783,1.0031,8.7509,-6.9271,11.7257
Big Breakfast,0.4254,0.9383,7.0854,-6.1854,9.7208
Brown Toast Bread,0.6269,1.9442,5.2963,-5.2963,6.0843
Fried Egg,0.6404,1.3287,5.4982,-4.8661,6.6539
Bacon Bap,0.3566,0.9715,5.2258,-4.1820,6.7463
P.Eggs on Toast,0.6661,1.6349,3.7208,-3.5644,4.1034
Baked Beans,0.6382,1.0730,3.3671,-3.2509,4.0682
Toasted Teacake,0.3975,1.0352,3.4267,-2.9821,4.1427
Breakfast Muffin,0.7532,1.1762,2.9608,-2.9608,3.5781
"Avo, Egg & Bacon",0.8711,1.5400,2.9737,-2.9286,3.7111
Festive Stack,0.9964,1.7493,2.7144,-2.6801,3.7703
Tuna Toastie,0.9090,1.2119,2.2567,-2.1994,2.8399
Multiseed Toast Bread,0.7945,0.8556,2.3013,-2.1825,3.0862
Buttd Mushrooms,0.9314,1.3971,2.1198,-2.1154,2.5542
Bacon,0.4597,0.7498,2.6631,-2.0957,3.8736
Sausage,0.5256,0.7991,3.3894,-2.0830,4.7001
Bacon Egg Brioch,0.9223,1.0851,1.9082,-1.8919,2.4262
"Avo, Feta & Tom",0.8694,1.0570,1.8588,-1.7750,2.4535
S.Eggs on Toast,0.6437,0.9048,2.1529,-1.7214,2.7865
Tuna JP,0.6819,0.9093,1.8812,-1.6655,2.5236
Egg Bap,0.9736,0.8519,1.6450,-1.6233,2.2463
Ltle Bfast Saus,0.9431,1.1961,1.6910,-1.6020,2.2880
Veggie Breakfast,0.8345,0.8345,1.8705,-1.5992,2.4378
Black Pudding,0.7083,0.7941,1.8073,-1.4597,2.5572
Poached Egg,0.6763,0.7860,2.0056,-1.4573,2.8578
Mini Hash Browns,0.7780,0.9775,1.3145,-1.1859,1.6339
Chilli Carne JP,0.8885,0.9587,1.2562,-1.1436,1.6961
Hash Brown,0.5742,0.8316,1.6631,-1.0201,2.1218
Tattie Scone,0.7784,0.8320,1.6641,-0.8013,2.0927
Scrambled Egg,0.8576,0.6467,1.3603,-0.7754,1.9361
Bacon Waffle,0.5505,0.6557,1.5376,-0.7115,2.2893
Breakfast Hash,0.9926,0.7219,0.8215,-0.7096,1.1841
F.Eggs on Toast,0.7318,0.8364,1.2113,-0.6653,1.6313
Roll & Butter ,0.5586,0.8100,1.1172,-0.5925,1.8590
Sourdough Toast Bread,0.9087,0.7368,0.9401,-0.5518,1.3302
Chicken Club,0.9619,1.1400,1.0614,-0.4928,1.7827
Chick Flatbread,0.9027,1.1848,0.6537,-0.4134,1.2723
Ltle Bfast Bacon,1.0449,0.7150,0.4684,-0.3988,0.8689
Cheese & Bean JP,0.6784,0.7208,0.7954,-0.3933,0.9553
Posh Beans,0.8353,0.6520,0.9218,-0.3333,1.1615
Bean Soldiers,1.0351,0.8872,0.4283,-0.3253,0.6433
Porridge,1.0381,0.9516,0.3938,-0.3252,0.5868
Veggie Bap,1.0939,0.9212,0.6035,-0.2762,0.7772
Cheese JP,1.2675,0.7243,0.3496,-0.1166,0.5243
Baked Beans JP,1.6246,1.0831,0.2241,-0.0176,0.3453
Cheese Sand PnM,N/A,N/A,0.0000,0.0000,0.0000
Chicken Goujons,N/A,N/A,0.0000,0.0000,0.0000
Chicken Strips,N/A,N/A,0.0000,0.0000,0.0000
Chicken Wrap,N/A,N/A,0.0000,0.0000,0.0000
Chicken Waffles,N/A,N/A,0.0000,0.0000,0.0000
Breakfast Bap,N/A,N/A,0.0000,0.0000,0.0000
Brunch Burger,N/A,N/A,0.0000,0.0000,0.0000
Cheese Extra,N/A,N/A,0.0000,0.0000,0.0000
Cheese Pizza,N/A,N/A,0.0000,0.0000,0.0000
Cheese Sandwich,N/A,N/A,0.0000,0.0000,0.0000
